stid,name,geometry,index_right,OBJECTID,STATEFP,COUNTYFP,CountyName
ACME,Acme,POINT Z (-98.02325 34.80833 397),25,26,40,051,Grady
ADAX,Ada,POINT Z (-96.66909 34.79851 295),61,62,40,123,Pontotoc
ALTU,Altus,POINT Z (-99.33808 34.58722 416),32,33,40,065,Jackson
ALV2,Alva,POINT Z (-98.70974 36.70823 439),75,76,40,151,Woods
ANT2,Antlers,POINT Z (-95.66844 34.24967 172),63,64,40,127,Pushmataha
APAC,Apache,POINT Z (-98.29216 34.91418 440),7,8,40,015,Caddo
ARD2,Ardmore,POINT Z (-97.08568 34.19258 266),9,10,40,019,Carter
ARNE,Arnett,POINT Z (-99.90308 36.07204 719),22,23,40,045,Ellis
BEAV,Beaver,POINT Z (-100.53012 36.80253 758),3,4,40,007,Beaver
BESS,Bessie,POINT Z (-99.05847 35.40185 511),74,75,40,149,Washita
BIXB,Bixby,POINT Z (-95.86621 35.96305 184),71,72,40,143,Tulsa
BLAC,Blackwell,POINT Z (-97.25452 36.75443 304),35,36,40,071,Kay
BOIS,Boise City,POINT Z (-102.49713 36.69256 1267),12,13,40,025,Cimarron
BREC,Breckinridge,POINT Z (-97.69394 36.41201 352),23,24,40,047,Garfield
BRIS,Bristow,POINT Z (-96.35404 35.7805 239),18,19,40,037,Creek
BROK,Broken Bow,POINT Z (-94.6244 34.0433 113),44,45,40,089,McCurtain
BUFF,Buffalo,POINT Z (-99.64101 36.83129 559),29,30,40,059,Harper
BURB,Burbank,POINT Z (-96.81046 36.63459 301),56,57,40,113,Osage
BURN,Burneyville,POINT Z (-97.26918 33.89376 228),42,43,40,085,Love
BUTL,Butler,POINT Z (-99.27059 35.5915 520),19,20,40,039,Custer
BYAR,Byars,POINT Z (-97.0033 34.8497 345),24,25,40,049,Garvin
CAMA,Camargo,POINT Z (-99.34652 36.02866 589),21,22,40,043,Dewey
CARL,Lake Carl Blackwell,POINT Z (-97.28585 36.1473 293),59,60,40,119,Payne
CENT,Centrahoma,POINT Z (-96.33309 34.60896 208),14,15,40,029,Coal
CHAN,Chandler,POINT Z (-96.80407 35.65282 291),40,41,40,081,Lincoln
CHER,Cherokee,POINT Z (-98.36274 36.74813 362),1,2,40,003,Alfalfa
CHEY,Cheyenne,POINT Z (-99.7279 35.54615 694),64,65,40,129,Roger Mills
CHIC,Chickasha,POINT Z (-97.91446 35.03236 328),25,26,40,051,Grady
CLAR,Claremore,POINT Z (-95.6417 36.3172 213),65,66,40,131,Rogers
CLAY,Clayton,POINT Z (-95.32596 34.65657 186),63,64,40,127,Pushmataha
CLOU,Cloudy,POINT Z (-95.2487 34.22321 221),63,64,40,127,Pushmataha
CLRM,Claremore,POINT Z (-95.64617 36.32112 207),65,66,40,131,Rogers
COOK,Cookson,POINT Z (-94.84896 35.68001 299),10,11,40,021,Cherokee
COPA,Copan,POINT Z (-95.88553 36.90987 250),73,74,40,147,Washington
DURA,Durant,POINT Z (-96.32027 33.92075 197),6,7,40,013,Bryan
ELKC,Elk City,POINT Z (-99.39398 35.33353 584),4,5,40,009,Beckham
ELRE,El Reno,POINT Z (-98.03654 35.54848 419),8,9,40,017,Canadian
ERIC,Erick,POINT Z (-99.80344 35.20494 603),4,5,40,009,Beckham
EUFA,Eufaula,POINT Z (-95.65707 35.30324 200),45,46,40,091,McIntosh
EVAX,Eva,POINT Z (-101.78158 36.921853 1065),69,70,40,139,Texas
FAIR,Fairview,POINT Z (-98.49766 36.26353 405),46,47,40,093,Major
FITT,Fittstown,POINT Z (-96.71779 34.55205 350),61,62,40,123,Pontotoc
FORA,Foraker,POINT Z (-96.42777 36.84053 330),56,57,40,113,Osage
FREE,Freedom,POINT Z (-99.14234 36.72562 530),76,77,40,153,Woodward
FTCB,Fort Cobb,POINT Z (-98.46607 35.14887 422),7,8,40,015,Caddo
GOOD,Goodwell,POINT Z (-101.6013 36.60183 997),69,70,40,139,Texas
GRA2,Grandfield,POINT Z (-98.743583 34.239444 341),70,71,40,141,Tillman
GRAN,Grandfield,POINT Z (-98.7397 34.2392 342),70,71,40,141,Tillman
GUTH,Guthrie,POINT Z (-97.47978 35.84891 330),41,42,40,083,Logan
HASK,Haskell,POINT Z (-95.64047 35.74798 183),50,51,40,101,Muskogee
HECT,Hectorville,POINT Z (-96.0024 35.84162 243),55,56,40,111,Okmulgee
HINT,Hinton,POINT Z (-98.48151 35.48439 493),7,8,40,015,Caddo
HOBA,Hobart,POINT Z (-99.05283 34.98971 473),37,38,40,075,Kiowa
HOLD,Holdenville,POINT Z (-96.35595 35.07073 280),31,32,40,063,Hughes
HOLL,Hollis,POINT Z (-99.83331 34.6855 497),28,29,40,057,Harmon
HOOK,Hooker,POINT Z (-101.22547 36.85518 912),69,70,40,139,Texas
HUGO,Hugo,POINT Z (-95.54011 34.03084 175),11,12,40,023,Choctaw
IDAB,Idabel,POINT Z (-94.8803 33.83013 110),44,45,40,089,McCurtain
INOL,Inola,POINT Z (-95.45067 36.14246 190),65,66,40,131,Rogers
